DATASET,X,Y,FLOW_M3-S,START_YR,END_YR,ID,S_PER,E_PER,S_DAY,E_DAY,FLOW_M3D,CVE_ENT,CVE_MUN,NOM_MUN,CODE
CAEM,502651.2069857840,2144422.6095137200,-0.10127029426686900000,1984,1985,3826,1,13,0,365,-8749.7534246575,15,031,Chimalhuac?ín,15031
CAEM,502563.7494210020,2144115.2438725500,-0.03567513318112630000,1984,1985,3827,1,13,0,365,-3082.3315068493,15,058,Nezahualc??yotl,15058
CAEM,503001.3008575810,2143900.1648585500,-0.12776582318619900000,1984,1985,3828,1,13,0,365,-11038.9671232877,15,058,Nezahualc??yotl,15058
CAEM,502826.3847081350,2143316.1662906900,-0.08979572552004050000,1984,1985,3829,1,13,0,365,-7758.3506849315,15,058,Nezahualc??yotl,15058
CAEM,503030.6454605080,2142855.1708326100,-0.08087715626585480000,1984,1985,3830,1,13,0,365,-6987.7863013699,15,058,Nezahualc??yotl,15058
CAEM,503497.4926408630,2142179.0804572300,-0.10038356164383500000,1984,1985,3831,1,13,0,365,-8673.1397260274,15,058,Nezahualc??yotl,15058
CAEM,503789.2525611540,2141933.2577792800,-0.11307061770674700000,1984,1985,3832,1,13,0,365,-9769.3013698630,15,070,La Paz,15070
CAEM,503526.8383021210,2141287.7649749600,-0.09573205225773710000,1984,1985,3833,1,13,0,365,-8271.2493150685,15,070,La Paz,15070
CAEM,503556.2232080350,2140212.0393149700,-0.08609487569761540000,1984,1985,3834,1,13,0,365,-7438.5972602740,15,070,La Paz,15070
CAEM,504081.4383058020,2139843.3287516500,-0.05332676940639260000,1984,1985,3835,1,13,0,365,-4607.4328767123,15,070,La Paz,15070
CAEM,504285.7552780970,2139443.8192002500,-0.07359271943176050000,1984,1985,3836,1,13,0,365,-6358.4109589041,15,070,La Paz,15070
CAEM,503906.5375318470,2139167.1167389800,-0.10198956747843700000,1984,1985,3837,1,13,0,365,-8811.8986301370,15,070,La Paz,15070
